ticker,last_date_x,model_date,close,proba_up,calibrated,calibration_method,threshold,trend_ok,signal,stop_loss,take_profit,atr,rsi,avg_volume_20,sector,industry,rr,breakout_ok,vol_spike,pullback_ok,mtf_trend_ok,atr_close_ratio,gap_ok,regime_ok,recommended_product,recommended_reason,cagr,max_dd,winrate,n_days,n_trades,last_date_y
VOLTAS.NS,2025-09-12,2025-09-12,1403.6,0.511,False,,0.69,True,HOLD,,,34.016,56.637,1205294,Consumer Cyclical,"Furnishings, Fixtures & Appliances",,False,False,False,True,0.0242,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
BHARATFORG.NS,2025-09-12,2025-09-12,1223.0,0.252,False,,0.47,False,SELL,1255.52,1174.22,32.521,62.342,1117826,Consumer Cyclical,Auto Parts,1.5,False,False,False,False,0.0266,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
ADANIPORTS.NS,2025-09-12,2025-09-12,1393.1,0.106,False,,0.67,False,SELL,1419.66,1353.27,26.555,61.578,2170783,Industrials,Marine Shipping,1.5,False,False,False,True,0.0191,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
GRASIM.NS,2025-09-12,2025-09-12,2802.0,0.239,False,,0.45,True,HOLD,,,45.629,52.596,552403,Basic Materials,Building Materials,,False,False,True,True,0.0163,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
IDEA.NS,2025-09-12,2025-09-12,7.66,0.093,False,,0.57,True,HOLD,,,0.307,66.084,497191222,Communication Services,Telecom Services,,True,False,False,False,0.04,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
MPHASIS.NS,2025-09-12,2025-09-12,2904.2,0.492,False,,0.52,True,HOLD,,,80.891,55.976,438458,Technology,Information Technology Services,,False,False,False,True,0.0279,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
INFY.NS,2025-09-12,2025-09-12,1525.6,0.187,False,,0.7,False,SELL,1557.44,1477.84,31.841,55.788,7236641,Technology,Information Technology Services,1.5,False,True,False,False,0.0209,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
HDFCLIFE.NS,2025-09-12,2025-09-12,779.65,0.19,False,,0.45,True,HOLD,,,15.673,54.579,2708799,Financial Services,Insurance - Life,,False,False,True,True,0.0201,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
LAURUSLABS.NS,2025-09-12,2025-09-12,896.05,0.042,False,,0.7,True,HOLD,,,20.049,64.392,1266115,Healthcare,Drug Manufacturers - Specialty & Generic,,False,False,False,True,0.0224,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
YESBANK.NS,2025-09-12,2025-09-12,20.86,0.352,False,,0.48,True,HOLD,,,0.429,66.967,93658292,Financial Services,Banks - Regional,,False,False,False,True,0.0206,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
COALINDIA.NS,2025-09-12,2025-09-12,394.35,0.156,False,,0.7,True,HOLD,,,5.552,62.462,4686412,Energy,Thermal Coal,,False,False,False,False,0.0141,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
NTPC.NS,2025-09-12,2025-09-12,331.7,0.692,False,,0.56,False,HOLD,,,5.203,48.876,8372112,Utilities,Utilities - Regulated Electric,,False,False,False,False,0.0157,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
TATAELXSI.NS,2025-09-12,2025-09-12,5721.5,0.814,False,,0.7,False,HOLD,,,133.741,53.998,166711,Technology,Software - Application,,False,False,False,False,0.0234,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
COLPAL.NS,2025-09-12,2025-09-12,2353.7,0.851,False,,0.54,True,HOLD,2301.85,2431.48,51.853,51.438,743228,Consumer Defensive,Household & Personal Products,1.5,False,False,True,False,0.022,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
LODHA.NS,2025-09-12,2025-09-12,1168.3,0.474,False,,0.7,False,HOLD,,,30.89,34.961,1042602,Real Estate,Real Estate - Development,,False,True,False,False,0.0264,True,True,,,0.0,0.0,0.0,1078,0,2025-09-12
DEEPAKNTR.NS,2025-09-12,2025-09-12,1749.6,0.43,False,,0.48,False,SELL,1783.44,1698.84,33.841,33.734,200858,Basic Materials,Chemicals,1.5,False,False,False,False,0.0193,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
OIL.NS,2025-09-12,2025-09-12,398.4,0.547,False,,0.45,False,HOLD,,,8.987,43.19,1495372,Energy,Oil & Gas Integrated,,False,False,False,False,0.0226,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
EICHERMOT.NS,2025-09-12,2025-09-12,6875.0,0.103,False,,0.45,True,HOLD,,,136.847,81.907,739983,Consumer Cyclical,Auto Manufacturers,,False,False,False,True,0.0199,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
