ticker,last_date,model_date,close,proba_up,calibrated,calibration_method,threshold,trend_ok,signal,stop_loss,take_profit,atr,rsi,avg_volume_20,sector,industry,rr,breakout_ok,vol_spike,pullback_ok,mtf_trend_ok,atr_close_ratio,gap_ok,regime_ok,recommended_product,recommended_reason
DRREDDY.NS,2025-09-12,2025-09-12,1316.7,0.872,False,,0.65,True,HOLD,1292.3,1353.3,24.4,63.544,1354534,Healthcare,Drug Manufacturers - Specialty & Generic,1.5,True,False,False,True,0.0185,True,True,,
TATAPOWER.NS,2025-09-12,2025-09-12,386.25,0.209,False,,0.49,False,SELL,392.32,377.15,6.065,50.238,3407158,Utilities,Utilities - Independent Power Producers,1.5,False,False,False,False,0.0157,True,True,,
TITAN.NS,2025-09-12,2025-09-12,3571.9,0.553,False,,0.7,True,HOLD,,,53.551,47.973,592826,Consumer Cyclical,Luxury Goods,,False,False,False,True,0.015,True,True,,
IEX.NS,2025-09-12,2025-09-12,144.84,0.464,False,,0.68,False,SELL,148.46,139.41,3.622,48.342,5248102,Financial Services,Capital Markets,1.5,False,False,False,False,0.025,True,True,,
NESTLEIND.NS,2025-09-12,2025-09-12,1217.6,0.238,False,,0.67,True,HOLD,,,22.906,61.77,1448591,Consumer Defensive,Packaged Foods,,False,False,False,True,0.0188,True,True,,
NAVINFLUOR.NS,2025-09-12,2025-09-12,4791.0,0.261,False,,0.67,False,SELL,4921.9,4594.65,130.898,47.233,87562,Basic Materials,Chemicals,1.5,False,False,False,True,0.0273,True,True,,
NEWGEN.NS,2025-09-12,2025-09-12,887.5,0.765,False,,0.49,False,HOLD,,,28.09,46.085,843746,Technology,Software - Infrastructure,,False,False,False,False,0.0317,True,True,,
IREDA.NS,2025-09-12,2025-09-12,147.35,0.526,False,,0.59,False,HOLD,,,2.905,51.332,4501156,Financial Services,Credit Services,,False,False,False,False,0.0197,True,True,,
ZYDUSLIFE.NS,2025-09-12,2025-09-12,1044.75,0.223,False,,0.66,True,HOLD,,,20.232,69.146,1090057,Healthcare,Drug Manufacturers - Specialty & Generic,,False,False,False,True,0.0194,True,True,,
PERSISTENT.NS,2025-09-12,2025-09-12,5411.0,0.308,False,,0.66,False,SELL,5548.07,5205.4,137.066,54.529,417037,Technology,Information Technology Services,1.5,False,False,False,False,0.0253,True,True,,
ITC.NS,2025-09-12,2025-09-12,413.75,0.356,False,,0.69,False,SELL,419.35,405.34,5.604,54.573,14284125,Consumer Defensive,Tobacco,1.5,False,False,False,False,0.0135,True,True,,
