ticker,feature,psi
AIAENG.NS,ret_1,0.04
AIAENG.NS,ret_5,0.0266
AIAENG.NS,ret_10,0.0472
M&M.NS,rsi,0.0825
M&M.NS,atr,12.6054
M&M.NS,ema_20,26.4199
M&M.NS,ema_50,26.6995
M&M.NS,ema_200,30.3254
M&M.NS,ret_1,0.0246
M&M.NS,ret_5,0.0515
M&M.NS,ret_10,0.0864
ITC.NS,rsi,0.2259
ITC.NS,atr,5.8709
ITC.NS,ema_20,30.8681
ITC.NS,ema_50,37.2473
ITC.NS,ema_200,37.2473
ITC.NS,ret_1,0.0866
ITC.NS,ret_5,0.2279
ITC.NS,ret_10,0.2008
HDFCAMC.NS,rsi,0.7019
HDFCAMC.NS,atr,8.9814
HDFCAMC.NS,ema_20,12.2764
HDFCAMC.NS,ema_50,12.3839
HDFCAMC.NS,ema_200,12.5439
HDFCAMC.NS,ret_1,0.0593
HDFCAMC.NS,ret_5,0.1118
HDFCAMC.NS,ret_10,0.2729
ASTRAL.NS,rsi,0.1566
ASTRAL.NS,atr,0.3441
ASTRAL.NS,ema_20,15.5169
ASTRAL.NS,ema_50,15.8209
ASTRAL.NS,ema_200,23.1671
ASTRAL.NS,ret_1,0.0755
ASTRAL.NS,ret_5,0.1611
ASTRAL.NS,ret_10,0.1506
TITAN.NS,rsi,0.0653
TITAN.NS,atr,1.7352
TITAN.NS,ema_20,26.8037
TITAN.NS,ema_50,26.6924
TITAN.NS,ema_200,30.3254
TITAN.NS,ret_1,0.0908
TITAN.NS,ret_5,0.084
TITAN.NS,ret_10,0.1938
LT.NS,rsi,0.0739
LT.NS,atr,12.798
LT.NS,ema_20,30.8681
