ticker,feature,psi
MUTHOOTFIN.NS,rsi,0.6128
MUTHOOTFIN.NS,atr,4.9686
MUTHOOTFIN.NS,ema_20,9.0372
MUTHOOTFIN.NS,ema_50,8.7517
MUTHOOTFIN.NS,ema_200,8.2527
MUTHOOTFIN.NS,ret_1,0.0544
MUTHOOTFIN.NS,ret_5,0.1096
MUTHOOTFIN.NS,ret_10,0.2571
DIXON.NS,rsi,0.3608
DIXON.NS,atr,8.1612
DIXON.NS,ema_20,12.7687
DIXON.NS,ema_50,12.3556
DIXON.NS,ema_200,15.5804
DIXON.NS,ret_1,0.0347
DIXON.NS,ret_5,0.0445
DIXON.NS,ret_10,0.1064
ASHOKLEY.NS,rsi,0.0538
ASHOKLEY.NS,atr,4.4013
ASHOKLEY.NS,ema_20,26.4262
ASHOKLEY.NS,ema_50,26.3404
ASHOKLEY.NS,ema_200,29.9601
ASHOKLEY.NS,ret_1,0.1147
ASHOKLEY.NS,ret_5,0.122
ASHOKLEY.NS,ret_10,0.1595
MAXHEALTH.NS,rsi,0.0975
MAXHEALTH.NS,atr,23.2179
MAXHEALTH.NS,ema_20,31.2061
MAXHEALTH.NS,ema_50,37.2489
MAXHEALTH.NS,ema_200,37.2489
MAXHEALTH.NS,ret_1,0.0431
MAXHEALTH.NS,ret_5,0.051
MAXHEALTH.NS,ret_10,0.0251
IDFCFIRSTB.NS,rsi,0.0671
IDFCFIRSTB.NS,atr,0.76
IDFCFIRSTB.NS,ema_20,26.4082
IDFCFIRSTB.NS,ema_50,26.9519
IDFCFIRSTB.NS,ema_200,37.2489
IDFCFIRSTB.NS,ret_1,0.1647
IDFCFIRSTB.NS,ret_5,0.1894
IDFCFIRSTB.NS,ret_10,0.2825
IREDA.BO,rsi,1.019
IREDA.BO,atr,8.3622
IREDA.BO,ema_20,5.028
IREDA.BO,ema_50,8.8021
IREDA.BO,ema_200,18.3087
IREDA.BO,ret_1,0.3207
IREDA.BO,ret_5,0.1935
IREDA.BO,ret_10,0.5366
NHPC.NS,rsi,0.0303
NHPC.NS,atr,19.7173
NHPC.NS,ema_20,30.1487
NHPC.NS,ema_50,30.1663
NHPC.NS,ema_200,37.2489
NHPC.NS,ret_1,0.0244
NHPC.NS,ret_5,0.0355
NHPC.NS,ret_10,0.0311
NEWGEN.NS,rsi,0.1289
NEWGEN.NS,atr,19.7139
NEWGEN.NS,ema_20,26.585
NEWGEN.NS,ema_50,26.431
NEWGEN.NS,ema_200,22.79
NEWGEN.NS,ret_1,0.0591
NEWGEN.NS,ret_5,0.1357
NEWGEN.NS,ret_10,0.1674
PVRINOX.NS,rsi,0.1884
PVRINOX.NS,atr,0.2711
PVRINOX.NS,ema_20,14.9169
PVRINOX.NS,ema_50,18.5949
PVRINOX.NS,ema_200,33.2525
PVRINOX.NS,ret_1,0.2855
PVRINOX.NS,ret_5,0.125
