ticker,last_date,model_date,close,proba_up,calibrated,calibration_method,threshold,trend_ok,signal,stop_loss,take_profit,atr,rsi,avg_volume_20,sector,industry,rr,breakout_ok,vol_spike,pullback_ok,mtf_trend_ok,atr_close_ratio,gap_ok,regime_ok,recommended_product,recommended_reason
IDFCFIRSTB.NS,2025-09-12,2025-09-12,72.04,0.495,True,isotonic,0.68,True,HOLD,,,1.297,55.683,17580717,Financial Services,Banks - Regional,,False,False,False,True,0.018,True,True,,
OFSS.NS,2025-09-12,2025-09-12,8979.0,0.517,True,isotonic,0.7,False,HOLD,,,282.24,59.678,248247,Technology,Software - Infrastructure,,False,True,False,False,0.0314,True,True,,
WIPRO.NS,2025-09-12,2025-09-12,251.94,0.528,True,isotonic,0.55,False,HOLD,,,4.996,52.986,7929294,Technology,Information Technology Services,,False,False,False,False,0.0198,True,True,,
AIAENG.NS,2025-09-12,2025-09-12,3087.9,0.571,True,isotonic,0.7,False,HOLD,,,63.079,48.486,56663,Industrials,Specialty Industrial Machinery,,False,True,False,False,0.0204,True,True,,
MRF.NS,2025-09-12,2025-09-12,146570.0,0.54,True,isotonic,0.5,True,BUY,143008.55,151912.18,3561.452,50.505,8753,Consumer Cyclical,Auto Parts,1.5,False,False,True,True,0.0243,True,True,MIS,low confidence
HDFCBANK.NS,2025-09-12,2025-09-12,967.3,0.628,True,isotonic,0.55,False,HOLD,,,11.899,44.886,15074083,Financial Services,Banks - Regional,,False,False,False,True,0.0123,True,True,,
LODHA.NS,2025-09-12,2025-09-12,1168.3,0.56,True,isotonic,0.59,False,HOLD,,,30.89,34.961,1042602,Real Estate,Real Estate - Development,,False,True,False,False,0.0264,True,True,,
INDUSINDBK.NS,2025-09-12,2025-09-12,740.5,0.478,True,isotonic,0.55,False,HOLD,,,15.099,37.105,2126542,Financial Services,Banks - Regional,,False,False,False,False,0.0204,True,True,,
CUMMINSIND.NS,2025-09-12,2025-09-12,4030.4,0.696,True,isotonic,0.45,True,HOLD,3955.22,4143.16,75.177,72.852,454343,Industrials,Specialty Industrial Machinery,1.5,False,False,False,True,0.0187,True,True,,
HDFCLIFE.NS,2025-09-12,2025-09-12,779.65,0.5,True,isotonic,0.55,True,HOLD,,,15.673,54.579,2708799,Financial Services,Insurance - Life,,False,False,True,True,0.0201,True,True,,
